address,contractAddress,vestingish,units,name,symbol,decimals,tokenBalance,logo
0x1f41e42d0a9e3c0dd3ba15b527342783b43200a9,0xfe633a37c77241b825f1cf39afff44cb56242b77,False,3700.0,Chart 4 You,C4Y,18,0x0000000000000000000000000000000000000000000000c893d09c8f51500000,https://static.alchemyapi.io/images/assets/26639.png
0x1f41e42d0a9e3c0dd3ba15b527342783b43200a9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x1f41e42d0a9e3c0dd3ba15b527342783b43200a9,0xfe633a37c77241b825f1cf39afff44cb56242b77,False,3700.0,Chart 4 You,C4Y,18,0x0000000000000000000000000000000000000000000000c893d09c8f51500000,https://static.alchemyapi.io/images/assets/26639.png
0x1f41e42d0a9e3c0dd3ba15b527342783b43200a9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x1f41e42d0a9e3c0dd3ba15b527342783b43200a9,0xfe633a37c77241b825f1cf39afff44cb56242b77,False,3700.0,Chart 4 You,C4Y,18,0x0000000000000000000000000000000000000000000000c893d09c8f51500000,https://static.alchemyapi.io/images/assets/26639.png
0x2046aba1440c084a1a3dca3178e8c99441fc274c,0x111111111117dc0aa78b770fa6a738034120c302,True,0.0,1inch Network,1INCH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/8104.png
0x2046aba1440c084a1a3dca3178e8c99441fc274c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,True,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x315d700683a9adf209823ec3069995e499321732,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x315d700683a9adf209823ec3069995e499321732,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
0x315d700683a9adf209823ec3069995e499321732,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,False,0.0,WETH,WETH,18,0x0000000000000000000000000000000000000000000000000000000000000000,https://static.alchemyapi.io/images/assets/2396.png
